x;SNO_AS
9.415258333;11.1721
9.496904167;10.8756
9.583041667;10.2969
9.662454167;15.0633
9.747895833;19.1723
9.8291125;21.782
9.911866667;24.0165
9.994970833;23.9072
10;24.1876
10.08106667;23.6098
10.1651;17.219
10.24709583;14.5787
10.33053333;12.2193
10.41525833;11.1721
10.49690417;10.8756
10.58304167;10.2969
10.66245417;15.0633
10.74789583;19.1723
10.8291125;21.782
10.91186667;24.0165
10.99497083;23.9072
11;24.1876
11.08106667;23.6098
11.1651;17.219
11.24709583;14.5787
11.33053333;12.2193
11.41525833;11.1721
11.49690417;10.8756
11.58304167;10.2969
11.66245417;15.0633
11.74789583;19.1723
11.8291125;21.782
11.91186667;24.0165
11.99497083;23.9072
12;24.1876
12.08106667;23.6098
12.1651;17.219
12.24709583;14.5787
12.33053333;12.2193
12.41525833;11.1721
12.49690417;10.8756
12.58304167;10.2969
12.66245417;15.0633
12.74789583;19.1723
12.8291125;21.782
12.91186667;24.0165
12.99497083;23.9072
13;24.1876
13.08106667;23.6098
13.1651;17.219
13.24709583;14.5787
13.33053333;12.2193
13.41525833;11.1721
13.49690417;10.8756
13.58304167;10.2969
13.66245417;15.0633
13.74789583;19.1723
13.8291125;21.782
13.91186667;24.0165
13.99497083;23.9072
14;24.1876
14.08106667;23.6098
14.1651;17.219
14.24709583;14.5787
14.33053333;12.2193
14.41525833;11.1721
14.49690417;10.8756
14.58304167;10.2969
14.66245417;15.0633
14.74789583;19.1723
14.8291125;21.782
14.91186667;24.0165
14.99497083;23.9072
15;24.1876
15.08106667;23.6098
15.1651;17.219
15.24709583;14.5787
15.33053333;12.2193
15.41525833;11.1721
15.49690417;10.8756
15.58304167;10.2969
15.66245417;15.0633
15.74789583;19.1723
15.8291125;21.782
15.91186667;24.0165
15.99497083;23.9072
16;24.1876
16.08106667;23.6098
16.1651;17.219
16.24709583;14.5787
16.33053333;12.2193
16.41525833;11.1721
16.49690417;10.8756
16.58304167;10.2969
16.66245417;15.0633
16.74789583;19.1723
16.8291125;21.782
16.91186667;24.0165
16.99497083;23.9072
17;24.1876
17.08106667;23.6098
17.1651;17.219
17.24709583;14.5787
17.33053333;12.2193
17.41525833;11.1721
17.49690417;10.8756
17.58304167;10.2969
17.66245417;15.0633
17.74789583;19.1723
17.8291125;21.782
17.91186667;24.0165
17.99497083;23.9072
18;24.1876
18.08106667;23.6098
18.1651;17.219
18.24709583;14.5787
18.33053333;12.2193
18.41525833;11.1721
18.49690417;10.8756
18.58304167;10.2969
18.66245417;15.0633
18.74789583;19.1723
18.8291125;21.782
18.91186667;24.0165
18.99497083;23.9072
19;24.1876
19.08106667;23.6098
19.1651;17.219
19.24709583;14.5787
19.33053333;12.2193
19.41525833;11.1721
19.49690417;10.8756
19.58304167;10.2969
19.66245417;15.0633
19.74789583;19.1723
19.8291125;21.782
19.91186667;24.0165
19.99497083;23.9072
20;24.1876
20.08106667;23.6098
20.1651;17.219
20.24709583;14.5787
20.33053333;12.2193
20.41525833;11.1721
20.49690417;10.8756
20.58304167;10.2969
20.66245417;15.0633
20.74789583;19.1723
20.8291125;21.782
20.91186667;24.0165
20.99497083;23.9072
21;24.1876
21.08106667;23.6098
21.1651;17.219
21.24709583;14.5787
21.33053333;12.2193
21.41525833;11.1721
21.49690417;10.8756
21.58304167;10.2969
21.66245417;15.0633
21.74789583;19.1723
21.8291125;21.782
21.91186667;24.0165
21.99497083;23.9072
22;24.1876
22.08106667;23.6098
22.1651;17.219
22.24709583;14.5787
22.33053333;12.2193
22.41525833;11.1721
22.49690417;10.8756
22.58304167;10.2969
22.66245417;15.0633
22.74789583;19.1723
22.8291125;21.782
22.91186667;24.0165
22.99497083;23.9072
23;24.1876
23.08106667;23.6098
23.1651;17.219
23.24709583;14.5787
23.33053333;12.2193
23.41525833;11.1721
23.49690417;10.8756
23.58304167;10.2969
23.66245417;15.0633
23.74789583;19.1723
23.8291125;21.782
23.91186667;24.0165
23.99497083;23.9072
24;24.1876
24.08106667;23.6098
24.1651;17.219
24.24709583;14.5787
24.33053333;12.2193
24.41525833;11.1721
24.49690417;10.8756
24.58304167;10.2969
24.66245417;15.0633
24.74789583;19.1723
24.8291125;21.782
24.91186667;24.0165
24.99497083;23.9072
25;24.1876
25.08106667;23.6098
25.1651;17.219
25.24709583;14.5787
25.33053333;12.2193
25.41525833;11.1721
25.49690417;10.8756
25.58304167;10.2969
25.66245417;15.0633
25.74789583;19.1723
25.8291125;21.782
25.91186667;24.0165
25.99497083;23.9072
26;24.1876
26.08106667;23.6098
26.1651;17.219
26.24709583;14.5787
26.33053333;12.2193
26.41525833;11.1721
26.49690417;10.8756
26.58304167;10.2969
26.66245417;15.0633
26.74789583;19.1723
26.8291125;21.782
26.91186667;24.0165
26.99497083;23.9072
27;24.1876
27.08106667;23.6098
27.1651;17.219
27.24709583;14.5787
27.33053333;12.2193
27.41525833;11.1721
27.49690417;10.8756
27.58304167;10.2969
27.66245417;15.0633
27.74789583;19.1723
27.8291125;21.782
27.91186667;24.0165
27.99497083;23.9072
28;24.1876
28.08106667;23.6098
28.1651;17.219
28.24709583;14.5787
28.33053333;12.2193
28.41525833;11.1721
28.49690417;10.8756
28.58304167;10.2969
28.66245417;15.0633
28.74789583;19.1723
28.8291125;21.782
28.91186667;24.0165
28.99497083;23.9072
29;24.1876
29.08106667;23.6098
29.1651;17.219
29.24709583;14.5787
29.33053333;12.2193
29.41525833;11.1721
29.49690417;10.8756
29.58304167;10.2969
29.66245417;15.0633
29.74789583;19.1723
29.8291125;21.782
29.91186667;24.0165
29.99497083;23.9072
30;24.1876
30.08106667;23.6098
30.1651;17.219
30.24709583;14.5787
30.33053333;12.2193
30.41525833;11.1721
30.49690417;10.8756
30.58304167;10.2969
30.66245417;15.0633
30.74789583;19.1723
30.8291125;21.782
30.91186667;24.0165
30.99497083;23.9072
31;24.1876
31.08106667;23.6098
31.1651;17.219
31.24709583;14.5787
31.33053333;12.2193
31.41525833;11.1721
31.49690417;10.8756
31.58304167;10.2969
31.66245417;15.0633
31.74789583;19.1723
31.8291125;21.782
31.91186667;24.0165
31.99497083;23.9072
32;24.1876
32.08106667;23.6098
32.1651;17.219
32.24709583;14.5787
32.33053333;12.2193
32.41525833;11.1721
32.49690417;10.8756
32.58304167;10.2969
32.66245417;15.0633
32.74789583;19.1723
32.8291125;21.782
32.91186667;24.0165
32.99497083;23.9072
33;24.1876
33.08106667;23.6098
33.1651;17.219
33.24709583;14.5787
33.33053333;12.2193
33.41525833;11.1721
33.49690417;10.8756
33.58304167;10.2969
33.66245417;15.0633
33.74789583;19.1723
33.8291125;21.782
33.91186667;24.0165
33.99497083;23.9072
34;24.1876
34.08106667;23.6098
34.1651;17.219
34.24709583;14.5787
34.33053333;12.2193
34.41525833;11.1721
34.49690417;10.8756
34.58304167;10.2969
34.66245417;15.0633
34.74789583;19.1723
34.8291125;21.782
34.91186667;24.0165
34.99497083;23.9072
35;24.1876
35.08106667;23.6098
35.1651;17.219
35.24709583;14.5787
35.33053333;12.2193
35.41525833;11.1721
35.49690417;10.8756
35.58304167;10.2969
35.66245417;15.0633
35.74789583;19.1723
35.8291125;21.782
35.91186667;24.0165
35.99497083;23.9072
36;24.1876
36.08106667;23.6098
36.1651;17.219
36.24709583;14.5787
36.33053333;12.2193
36.41525833;11.1721
36.49690417;10.8756
36.58304167;10.2969
36.66245417;15.0633
36.74789583;19.1723
36.8291125;21.782
36.91186667;24.0165
36.99497083;23.9072
37;24.1876
37.08106667;23.6098
37.1651;17.219
37.24709583;14.5787
37.33053333;12.2193
37.41525833;11.1721
37.49690417;10.8756
37.58304167;10.2969
37.66245417;15.0633
37.74789583;19.1723
37.8291125;21.782
37.91186667;24.0165
37.99497083;23.9072
38;24.1876
38.08106667;23.6098
38.1651;17.219
38.24709583;14.5787
38.33053333;12.2193
38.41525833;11.1721
38.49690417;10.8756
38.58304167;10.2969
38.66245417;15.0633
38.74789583;19.1723
38.8291125;21.782
38.91186667;24.0165
38.99497083;23.9072
39;24.1876
39.08106667;23.6098
39.1651;17.219
39.24709583;14.5787
39.33053333;12.2193
39.41525833;11.1721
39.49690417;10.8756
39.58304167;10.2969
39.66245417;15.0633
39.74789583;19.1723
39.8291125;21.782
39.91186667;24.0165
39.99497083;23.9072
40;24.1876
40.08106667;23.6098
40.1651;17.219
40.24709583;14.5787
40.33053333;12.2193
40.41525833;11.1721
40.49690417;10.8756
40.58304167;10.2969
40.66245417;15.0633
40.74789583;19.1723
40.8291125;21.782
40.91186667;24.0165
40.99497083;23.9072
41;24.1876
41.08106667;23.6098
41.1651;17.219
41.24709583;14.5787
41.33053333;12.2193
41.41525833;11.1721
41.49690417;10.8756
41.58304167;10.2969
41.66245417;15.0633
41.74789583;19.1723
41.8291125;21.782
41.91186667;24.0165
41.99497083;23.9072
42;24.1876
42.08106667;23.6098
42.1651;17.219
42.24709583;14.5787
42.33053333;12.2193
42.41525833;11.1721
42.49690417;10.8756
42.58304167;10.2969
42.66245417;15.0633
42.74789583;19.1723
42.8291125;21.782
42.91186667;24.0165
42.99497083;23.9072
43;24.1876
43.08106667;23.6098
43.1651;17.219
43.24709583;14.5787
43.33053333;12.2193
43.41525833;11.1721
43.49690417;10.8756
43.58304167;10.2969
43.66245417;15.0633
43.74789583;19.1723
43.8291125;21.782
43.91186667;24.0165
43.99497083;23.9072
44;24.1876
44.08106667;23.6098
44.1651;17.219
44.24709583;14.5787
44.33053333;12.2193
44.41525833;11.1721
44.49690417;10.8756
44.58304167;10.2969
44.66245417;15.0633
44.74789583;19.1723
44.8291125;21.782
44.91186667;24.0165
44.99497083;23.9072
45;24.1876
45.08106667;23.6098
45.1651;17.219
45.24709583;14.5787
45.33053333;12.2193
45.41525833;11.1721
45.49690417;10.8756
45.58304167;10.2969
45.66245417;15.0633
45.74789583;19.1723
45.8291125;21.782
45.91186667;24.0165
45.99497083;23.9072
46;24.1876
46.08106667;23.6098
46.1651;17.219
46.24709583;14.5787
46.33053333;12.2193
46.41525833;11.1721
46.49690417;10.8756
46.58304167;10.2969
46.66245417;15.0633
46.74789583;19.1723
46.8291125;21.782
46.91186667;24.0165
46.99497083;23.9072
47;24.1876
47.08106667;23.6098
47.1651;17.219
47.24709583;14.5787
47.33053333;12.2193
47.41525833;11.1721
47.49690417;10.8756
47.58304167;10.2969
47.66245417;15.0633
47.74789583;19.1723
